season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2021,Bundesliga,1.FC Köln,summer,in,Luca Kilian,384553,21,Germany,Centre-Back,CB,1300000.0,1.FSV Mainz 05,Germany,250000.0,1
2021,Bundesliga,1.FC Köln,summer,in,Mark Uth,112935,29,Germany,Centre-Forward,CF,3000000.0,FC Schalke 04,Germany,0.0,0
2021,Bundesliga,1.FC Köln,summer,in,Timo Hübers,236981,24,Germany,Centre-Back,CB,1800000.0,Hannover 96,Germany,0.0,0
2021,Bundesliga,1.FC Köln,summer,in,Dejan Ljubicic,287188,23,Austria,Defensive Midfield,DM,3000000.0,Rapid Vienna,Austria,0.0,0
2021,Bundesliga,1.FC Köln,summer,in,Marvin Schwäbe,160929,26,Germany,Goalkeeper,GK,1000000.0,Bröndby IF,Denmark,0.0,0
2021,Bundesliga,1.FC Köln,winter,in,Jeff Chabot,303219,23,Germany,Centre-Back,CB,2800000.0,UC Sampdoria,Italy,300000.0,1
2021,Bundesliga,1.FC Köln,winter,in,Bright Arrey-Mbi,580193,18,Germany,Centre-Back,CB,1300000.0,Bayern Munich,Germany,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Sebastiaan Bornauw,338629,22,Belgium,Centre-Back,CB,12000000.0,VfL Wolfsburg,Germany,14100000.0,0
2021,Bundesliga,1.FC Köln,summer,out,Ismail Jakobs,375137,21,Senegal,Left-Back,LB,7000000.0,AS Monaco,France,7300000.0,0
2021,Bundesliga,1.FC Köln,summer,out,Birger Verstraete,234193,27,Belgium,Defensive Midfield,DM,2500000.0,Royal Antwerp FC,Belgium,2000000.0,0
2021,Bundesliga,1.FC Köln,summer,out,Julian Krahl,337082,21,Germany,Goalkeeper,GK,200000.0,FC Viktoria 1889 Berlin,Germany,0.0,0
2021,Bundesliga,1.FC Köln,summer,out,Max Meyer,146164,25,Germany,Central Midfield,CM,1500000.0,Fenerbahce,Türkiye,0.0,0
2021,Bundesliga,1.FC Köln,summer,out,Vincent Koziello,290551,25,France,Central Midfield,CM,700000.0,KV Oostende (-2024),Belgium,0.0,0
2021,Bundesliga,1.FC Köln,summer,out,Marco Höger,55510,31,Germany,Defensive Midfield,DM,600000.0,SV Waldhof Mannheim,Germany,0.0,0
2021,Bundesliga,1.FC Köln,summer,out,Dominick Drexler,53400,31,Germany,Attacking Midfield,AM,1300000.0,FC Schalke 04,Germany,0.0,0
2021,Bundesliga,1.FC Köln,summer,out,Lasse Sobiech,79503,30,Germany,Centre-Back,CB,1000000.0,SV Darmstadt 98,Germany,0.0,0
2021,Bundesliga,1.FC Köln,summer,out,Marcel Risse,51176,31,Germany,Right Midfield,RM,500000.0,FC Viktoria Köln,Germany,,0
2021,Bundesliga,1.FC Köln,summer,out,João Queirós,415642,23,Portugal,Centre-Back,CB,100000.0,GD Chaves,Portugal,,0
2021,Bundesliga,1.FC Köln,summer,out,Robert Voloder,452392,20,Germany,Centre-Back,CB,250000.0,NK Maribor,Slovenia,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Yann Bisseck,441986,20,Germany,Centre-Back,CB,325000.0,Aarhus GF,Denmark,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Dimitrios Limnios,324344,23,Greece,Right Winger,RW,2000000.0,Twente Enschede FC,Netherlands,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Elvis Rexhbecaj,280575,23,Kosovo,Central Midfield,CM,4000000.0,VfL Wolfsburg,Germany,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Emmanuel Dennis,448854,23,Nigeria,Centre-Forward,CF,5000000.0,Club Brugge KV,Belgium,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Marius Wolf,193900,26,Germany,Right-Back,RB,4000000.0,Borussia Dortmund,Germany,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Tolu Arokodare,683571,20,Nigeria,Centre-Forward,CF,800000.0,Valmiera FC,Latvia,0.0,1
2021,Bundesliga,1.FC Köln,summer,out,Ron-Robert Zieler,21327,32,Germany,Goalkeeper,GK,1000000.0,Hannover 96,Germany,0.0,1
2021,Bundesliga,1.FC Köln,winter,out,Jorge Meré,286779,24,Spain,Centre-Back,CB,2500000.0,CF América,Mexico,900000.0,0
2021,Bundesliga,1.FC Köln,winter,out,Rafael Czichos,84150,31,Germany,Centre-Back,CB,1300000.0,Chicago Fire FC,United States,455000.0,0
2021,Bundesliga,1.FC Köln,winter,out,Robert Voloder,452392,20,Germany,Centre-Back,CB,400000.0,NK Maribor,Slovenia,100000.0,0
2021,Bundesliga,1.FC Köln,winter,out,Sava-Arangel Cestic,464906,20,Serbia,Centre-Back,CB,1000000.0,HNK Rijeka,Croatia,0.0,0
2021,Bundesliga,1.FC Köln,winter,out,Noah Katterbach,469949,20,Germany,Left-Back,LB,2500000.0,FC Basel 1893,Switzerland,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,in,Taiwo Awoniyi,295313,23,Nigeria,Centre-Forward,CF,5000000.0,Liverpool FC,England,8550000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Tymoteusz Puchacz,361575,22,Poland,Left-Back,LB,3500000.0,Lech Poznan,Poland,2500000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Leon Dajaku,483974,20,Germany,Left Winger,LW,1800000.0,FC Bayern Munich II,Germany,1500000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Frederik Rönnow,107775,28,Denmark,Goalkeeper,GK,2500000.0,Eintracht Frankfurt,Germany,1000000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Kevin Möhwald,94137,28,Germany,Central Midfield,CM,3000000.0,SV Werder Bremen,Germany,1000000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Keita Endo,421726,23,Japan,Left Winger,LW,1300000.0,Yokohama F. Marinos,Japan,900000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Rick van Drongelen,354340,22,Netherlands,Centre-Back,CB,2500000.0,Hamburger SV,Germany,500000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Julius Kade,317735,22,Germany,Central Midfield,CM,450000.0,SG Dynamo Dresden,Germany,500000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Paul Jaeckel,284248,22,Germany,Centre-Back,CB,2000000.0,SpVgg Greuther Fürth,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Kevin Behrens,117432,30,Germany,Centre-Forward,CF,900000.0,SV Sandhausen,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Andreas Voglsammer,94771,29,Germany,Centre-Forward,CF,1700000.0,Arminia Bielefeld,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Genki Haraguchi,79377,30,Japan,Attacking Midfield,AM,2500000.0,Hannover 96,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Bastian Oczipka,53437,32,Germany,Left-Back,LB,600000.0,FC Schalke 04,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Levin Öztunali,168543,25,Germany,Left Winger,LW,2500000.0,1.FSV Mainz 05,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Rani Khedira,124410,27,Germany,Defensive Midfield,DM,5000000.0,FC Augsburg,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Pawel Wszolek,164759,29,Poland,Right-Back,RB,2500000.0,Legia Warszawa,Poland,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,in,Timo Baumgartl,187491,25,Germany,Centre-Back,CB,3000000.0,PSV Eindhoven,Netherlands,0.0,1
2021,Bundesliga,1.FC Union Berlin,winter,in,Sven Michel,186988,31,Germany,Left Winger,LW,800000.0,SC Paderborn 07,Germany,2500000.0,0
2021,Bundesliga,1.FC Union Berlin,winter,in,András Schäfer,454863,22,Hungary,Central Midfield,CM,1600000.0,DAC Dunajska Streda,Slovakia,1000000.0,0
2021,Bundesliga,1.FC Union Berlin,winter,in,Dominique Heintz,110036,28,Germany,Centre-Back,CB,3000000.0,SC Freiburg,Germany,150000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Robert Andrich,159088,26,Germany,Defensive Midfield,DM,7000000.0,Bayer 04 Leverkusen,Germany,6500000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Marius Bülter,116088,28,Germany,Left Winger,LW,1700000.0,FC Schalke 04,Germany,800000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Marcus Ingvartsen,269878,25,Denmark,Centre-Forward,CF,3500000.0,1.FSV Mainz 05,Germany,600000.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Julius Kade,317735,22,Germany,Central Midfield,CM,450000.0,SG Dynamo Dresden,Germany,500000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Sebastian Griesbeck,153555,30,Germany,Centre-Back,CB,1000000.0,SpVgg Greuther Fürth,Germany,250000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Nicolai Rapp,185427,24,Germany,Defensive Midfield,DM,700000.0,SV Werder Bremen,Germany,200000.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Nikolai Kemlein,546343,19,Germany,Defender,Defender,100000.0,Hertha BSC II,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Akaki Gogia,92472,29,Germany,Left Winger,LW,650000.0,FC Zürich,Switzerland,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Florian Hübner,85822,30,Germany,Centre-Back,CB,800000.0,1.FC Nuremberg,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Christian Gentner,19112,35,Germany,Central Midfield,CM,500000.0,FC Luzern,Switzerland,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Christopher Lenz,159844,26,Germany,Left-Back,LB,5000000.0,Eintracht Frankfurt,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,summer,out,Leon Dajaku,483974,20,Germany,Left Winger,LW,1800000.0,Sunderland AFC,England,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Keita Endo,421726,23,Japan,Left Winger,LW,1300000.0,Yokohama F. Marinos,Japan,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Nico Schlotterbeck,388198,21,Germany,Centre-Back,CB,7500000.0,SC Freiburg,Germany,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Taiwo Awoniyi,295313,23,Nigeria,Centre-Forward,CF,5000000.0,Liverpool FC,England,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Loris Karius,85864,28,Germany,Goalkeeper,GK,2000000.0,Liverpool FC,England,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Joel Pohjanpalo,173491,26,Finland,Centre-Forward,CF,2500000.0,Bayer 04 Leverkusen,Germany,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Leon Dajaku,483974,20,Germany,Left Winger,LW,1800000.0,FC Bayern Munich II,Germany,0.0,1
2021,Bundesliga,1.FC Union Berlin,summer,out,Petar Musa,387110,23,Croatia,Centre-Forward,CF,2000000.0,SK Slavia Prague,Czech Republic,0.0,1
2021,Bundesliga,1.FC Union Berlin,winter,out,Marvin Friedrich,196231,26,Germany,Centre-Back,CB,10000000.0,Borussia Mönchengladbach,Germany,5500000.0,0
2021,Bundesliga,1.FC Union Berlin,winter,out,Max Kruse,36182,33,Germany,Second Striker,SS,3500000.0,VfL Wolfsburg,Germany,5000000.0,0
2021,Bundesliga,1.FC Union Berlin,winter,out,Tymoteusz Puchacz,361575,22,Poland,Left-Back,LB,2500000.0,Trabzonspor,Türkiye,200000.0,1
2021,Bundesliga,1.FC Union Berlin,winter,out,Cedric Teuchert,207597,24,Germany,Centre-Forward,CF,1500000.0,Hannover 96,Germany,0.0,0
2021,Bundesliga,1.FC Union Berlin,winter,out,Fabio Schneider,548803,19,Germany,Central Midfield,CM,200000.0,Kuopion Palloseura,Finland,0.0,1
2021,Bundesliga,1.FC Union Berlin,winter,out,Pawel Wszolek,164759,29,Poland,Right-Back,RB,1000000.0,Legia Warszawa,Poland,0.0,1
2021,Bundesliga,1.FC Union Berlin,winter,out,Rick van Drongelen,354340,23,Netherlands,Centre-Back,CB,1500000.0,KV Mechelen,Belgium,0.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,in,Anton Stach,344069,22,Germany,Defensive Midfield,DM,2500000.0,SpVgg Greuther Fürth,Germany,4500000.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,in,Silvan Widmer,168989,28,Switzerland,Right-Back,RB,4000000.0,FC Basel 1893,Switzerland,2500000.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,in,Marcus Ingvartsen,269878,25,Denmark,Centre-Forward,CF,3500000.0,1.FC Union Berlin,Germany,600000.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,in,Anderson Lucoqui,240274,23,Angola,Left-Back,LB,1000000.0,Arminia Bielefeld,Germany,0.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,in,Jae-sung Lee,314398,28,"Korea, South",Attacking Midfield,AM,3000000.0,Holstein Kiel,Germany,0.0,0
2021,Bundesliga,1.FSV Mainz 05,winter,in,Delano Burgzorg,436585,23,Suriname,Left Winger,LW,750000.0,Heracles Almelo,Netherlands,300000.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,out,Florian Müller,284769,23,Germany,Goalkeeper,GK,8000000.0,VfB Stuttgart,Germany,5000000.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,out,Pierre Kunde,339829,25,Cameroon,Central Midfield,CM,3500000.0,Olympiacos Piraeus,Greece,1800000.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,out,Luca Kilian,384553,21,Germany,Centre-Back,CB,1300000.0,1.FC Köln,Germany,250000.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,out,Danny Latza,39025,31,Germany,Defensive Midfield,DM,1500000.0,FC Schalke 04,Germany,0.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,out,Levin Öztunali,168543,25,Germany,Left Winger,LW,2500000.0,1.FC Union Berlin,Germany,0.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,out,Phillipp Mwene,127573,27,Austria,Left-Back,LB,2200000.0,PSV Eindhoven,Netherlands,0.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,out,Dong-won Ji,164265,30,"Korea, South",Centre-Forward,CF,800000.0,FC Seoul,"Korea, South",0.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,out,Robin Quaison,206542,27,Sweden,Centre-Forward,CF,7500000.0,Al-Ettifaq FC,Saudi Arabia,0.0,0
2021,Bundesliga,1.FSV Mainz 05,summer,out,Issah Abass,482145,22,Ghana,Left Winger,LW,700000.0,HNK Rijeka,Croatia,0.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,out,Edimilson Fernandes,247555,25,Switzerland,Defensive Midfield,DM,5000000.0,Arminia Bielefeld,Germany,0.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,out,Jonathan Meier,379989,21,Germany,Left-Back,LB,600000.0,FC Hansa Rostock,Germany,0.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,out,Marlon Mustapha,532495,20,Austria,Centre-Forward,CF,300000.0,FC Admira Wacker Mödling,Austria,0.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,out,Danny da Costa,85906,27,Germany,Centre-Back,CB,6000000.0,Eintracht Frankfurt,Germany,0.0,1
2021,Bundesliga,1.FSV Mainz 05,summer,out,Robert Glatzel,196139,27,Germany,Centre-Forward,CF,2500000.0,Cardiff City,England,0.0,1
2021,Bundesliga,1.FSV Mainz 05,winter,out,Jean-Philippe Mateta,420002,24,France,Centre-Forward,CF,5000000.0,Crystal Palace,England,11000000.0,0
2021,Bundesliga,1.FSV Mainz 05,winter,out,Ádám Szalai,39106,34,Hungary,Centre-Forward,CF,800000.0,FC Basel 1893,Switzerland,0.0,0
