season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1995,Eredivisie,Ajax Amsterdam,summer,in,Richard Witschge,4325,25,Netherlands,Central Midfield,CM,,FC Girondins Bordeaux,France,1200000.0,0
1995,Eredivisie,Ajax Amsterdam,summer,in,Hayden Foxe,3336,18,Australia,Centre-Back,CB,,FFA Centre of Excellence (- 2017),Australia,0.0,0
1995,Eredivisie,Ajax Amsterdam,summer,in,Arnold Scholten,107139,32,Netherlands,Defensive Midfield,DM,,Feyenoord Rotterdam,Netherlands,,0
1995,Eredivisie,Ajax Amsterdam,summer,in,Márcio Santos,16326,25,Brazil,Centre-Back,CB,,AC Fiorentina,Italy,,0
1995,Eredivisie,Ajax Amsterdam,winter,in,Peter Hoekstra,13584,22,Netherlands,Left Winger,LW,,PSV Eindhoven,Netherlands,2250000.0,0
1995,Eredivisie,Ajax Amsterdam,winter,in,Chris Kanu,13392,16,Nigeria,Right-Back,RB,,Eagle Cement,Nigeria,0.0,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Clarence Seedorf,4168,19,Netherlands,Central Midfield,CM,,UC Sampdoria,Italy,3620000.0,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Tarik Oulida,138314,21,Morocco,Left Midfield,LM,,Sevilla FC,Spain,1080000.0,0
1995,Eredivisie,Ajax Amsterdam,summer,out,André Ooijer,4345,20,Netherlands,Centre-Back,CB,,Roda JC Kerkrade,Netherlands,0.0,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Clyde Wijnhard,14387,21,Netherlands,Centre-Forward,CF,,RKC Waalwijk,Netherlands,0.0,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Peter van Vossen,101759,27,Netherlands,Left Winger,LW,,Istanbulspor,Türkiye,,0
1995,Eredivisie,Ajax Amsterdam,summer,out,John van den Brom,148378,28,Netherlands,Attacking Midfield,AM,,Istanbulspor,Türkiye,,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Rob Alflen,149247,27,Netherlands,Defensive Midfield,DM,,Vitesse Arnhem,Netherlands,,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Hans Erik Ramberg,37327,18,Norway,Central Midfield,CM,,Fredrikstad FK,Norway,,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Donny Huijsen,150825,21,Netherlands,Striker,Striker,,AZ Alkmaar,Netherlands,,0
1995,Eredivisie,Ajax Amsterdam,summer,out,Mendel Witzenhausen,248206,19,Netherlands,Centre-Back,CB,,VVV,Netherlands,,0
