season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1994,Laliga,Albacete Balompié,summer,in,José Francisco Molina,7485,23,Spain,Goalkeeper,GK,,Villarreal CF,Spain,0.0,0
1994,Laliga,Albacete Balompié,summer,in,Oscar Dertycia,120394,29,Argentina,Centre-Forward,CF,,CD Tenerife,Spain,,0
1994,Laliga,Albacete Balompié,summer,in,Albert Tomàs,253507,23,Spain,Centre-Back,CB,,FC Barcelona B,Spain,,0
1994,Laliga,Albacete Balompié,summer,in,Ivaylo Andonov,17163,26,Bulgaria,Centre-Forward,CF,,Levski Sofia,Bulgaria,,0
1994,Laliga,Albacete Balompié,summer,in,Óscar García,7897,21,Spain,Attacking Midfield,AM,,FC Barcelona,Spain,0.0,1
1994,Laliga,Albacete Balompié,winter,in,Goyo Fonseca,273632,29,Spain,Striker,Striker,,RCD Español,Spain,0.0,0
1994,Laliga,Albacete Balompié,winter,in,Manolo Salvador,277216,31,Spain,Central Midfield,CM,,Club Atlético Marbella,Spain,,0
1994,Laliga,Albacete Balompié,summer,out,Delfí Geli,172357,25,Spain,Right-Back,RB,,Atlético de Madrid,Spain,1200000.0,0
1994,Laliga,Albacete Balompié,summer,out,Santi Denia,10010,20,Spain,Centre-Back,CB,,Atlético de Madrid,Spain,0.0,0
1994,Laliga,Albacete Balompié,summer,out,Gabelo Conejo,92916,34,Costa Rica,Goalkeeper,GK,,Unknown,,,0
1994,Laliga,Albacete Balompié,summer,out,José González,276624,27,Spain,Striker,Striker,,AD Rayo Vallecano,Spain,,0
1994,Laliga,Albacete Balompié,summer,out,José Menéndez,304045,30,Spain,Midfielder,Midfielder,,Real Betis Balompié,Spain,,0
1994,Laliga,Albacete Balompié,summer,out,Raúl dos Santos,222942,29,Uruguay,Centre-Forward,CF,,Villarreal CF,Spain,,0
1994,Laliga,Albacete Balompié,summer,out,Vladan Dimitrijević,356414,21,Serbia,Defender,Defender,,CP Mérida,Spain,,0
1994,Laliga,Albacete Balompié,summer,out,Nilson,283199,28,Brazil,Second Striker,SS,,Real Valladolid Deportivo,Spain,,0
1994,Laliga,Albacete Balompié,summer,out,Sócrates Parri,314482,27,Spain,Defender,Defender,,Levante UD,Spain,,0
1994,Laliga,Albacete Balompié,summer,out,Ramón,208608,30,Spain,Centre-Forward,CF,,Retired,,,0
1994,Laliga,Albacete Balompié,summer,out,Óscar,1361170,21,Spain,Goalkeeper,GK,,Retired,,,0
1994,Laliga,Albacete Balompié,winter,out,Alberto Monteagudo,29180,20,Spain,Defensive Midfield,DM,,UD Fuerteventura,Spain,0.0,1
1994,Laliga,Athletic Bilbao,summer,in,Jon Andoni Goikoetxea,150650,28,Spain,Right Midfield,RM,,FC Barcelona,Spain,4200000.0,0
1994,Laliga,Athletic Bilbao,summer,in,Bittor Alkiza,7627,23,Spain,Left Midfield,LM,,Real Sociedad,Spain,1300000.0,0
1994,Laliga,Athletic Bilbao,summer,out,Xabier Eskurza,154584,24,Spain,Central Midfield,CM,,FC Barcelona,Spain,4000000.0,0
1994,Laliga,Athletic Bilbao,summer,out,Jon Uribarrena,154655,25,Spain,Striker,Striker,,Celta de Vigo,Spain,180000.0,0
1994,Laliga,Athletic Bilbao,summer,out,Asier García,154591,27,Spain,Defender,Defender,,CA Osasuna,Spain,0.0,0
1994,Laliga,Athletic Bilbao,summer,out,José Manuel Galdames,154589,23,Spain,Centre-Back,CB,,SD Compostela,Spain,0.0,1
1994,Laliga,Athletic Bilbao,summer,out,Carlos García,7628,23,Spain,Defensive Midfield,DM,,CA Osasuna,Spain,0.0,1
1994,Laliga,Atlético de Madrid,summer,in,Diego Simeone,5841,24,Argentina,Central Midfield,CM,,Sevilla FC,Spain,2700000.0,0
1994,Laliga,Atlético de Madrid,summer,in,Adolfo Valencia,84610,26,Colombia,Centre-Forward,CF,,Bayern Munich,Germany,2250000.0,0
1994,Laliga,Atlético de Madrid,summer,in,Delfí Geli,172357,25,Spain,Right-Back,RB,,Albacete Balompié,Spain,1200000.0,0
1994,Laliga,Atlético de Madrid,summer,in,Santi Denia,10010,20,Spain,Centre-Back,CB,,Albacete Balompié,Spain,0.0,0
1994,Laliga,Atlético de Madrid,summer,in,Alejandro,353725,23,Spain,Left-Back,LB,,Club Atlético Marbella,Spain,0.0,0
1994,Laliga,Atlético de Madrid,summer,in,Igor Dobrovolskiy,69814,26,Russia,Attacking Midfield,AM,,Dinamo Moscow,Russia,,0
1994,Laliga,Atlético de Madrid,summer,in,Iván Rocha,253985,25,Brazil,Left-Back,LB,,Real Valladolid Deportivo,Spain,,0
1994,Laliga,Atlético de Madrid,summer,out,Moacir,303470,24,Brazil,Defensive Midfield,DM,,Sevilla FC,Spain,800000.0,0
1994,Laliga,Atlético de Madrid,summer,out,Juanito Rodríguez,253986,29,Spain,Centre-Back,CB,,Sevilla FC,Spain,600000.0,0
1994,Laliga,Atlético de Madrid,summer,out,Pedro,254096,26,Spain,Left-Back,LB,,Sevilla FC,Spain,400000.0,0
1994,Laliga,Atlético de Madrid,summer,out,Luis García,80024,25,Mexico,Centre-Forward,CF,,Real Sociedad,Spain,,0
1994,Laliga,Atlético de Madrid,summer,out,Mami Quevedo,172351,25,Spain,Central Midfield,CM,,Real Valladolid Deportivo,Spain,,0
1994,Laliga,Atlético de Madrid,summer,out,Pizo Gómez,154877,30,Spain,Midfielder,Midfielder,,CA Osasuna,Spain,,0
1994,Laliga,Atlético de Madrid,summer,out,Juanma Alamillos,559986,21,Spain,Defender,Defender,,CD Toledo,Spain,,0
1994,Laliga,Atlético de Madrid,summer,out,Juan Sabas,253212,27,Spain,Centre-Forward,CF,,Real Betis Balompié,Spain,,0
1994,Laliga,Atlético de Madrid,summer,out,Juan Carlos,173135,21,Spain,Striker,Striker,,Club Atlético Marbella,Spain,0.0,1
1994,Laliga,Atlético de Madrid,winter,out,Serge-Alain Maguy,353161,24,Cote d'Ivoire,Midfielder,Midfielder,,ASEC Mimosas,Cote d'Ivoire,,0
1994,Laliga,Atlético de Madrid,winter,out,Miguel Ángel Benítez,27449,24,Paraguay,Centre-Forward,CF,,CP Mérida,Spain,0.0,1
1994,Laliga,Atlético de Madrid,winter,out,José Soler,262964,27,Spain,Midfielder,Midfielder,,CA Osasuna,Spain,0.0,1
1994,Laliga,CD Logroñés,summer,in,Javi Navarro,7696,20,Spain,Centre-Back,CB,,Valencia CF,Spain,0.0,1
1994,Laliga,CD Logroñés,summer,in,Nebojsa Gudelj,4443,25,Serbia,Left-Back,LB,,FK Partizan Belgrade,Serbia,,0
1994,Laliga,CD Logroñés,summer,in,Atila Kasaš,506028,25,Serbia,Striker,Striker,,FK Bečej,Serbia,,0
1994,Laliga,CD Logroñés,summer,in,Arturo,314704,25,Spain,Defender,Defender,,Sporting Gijón,Spain,,0
1994,Laliga,CD Logroñés,summer,in,Felipe Herrero,303462,24,Spain,Centre-Back,CB,,Córdoba CF,Spain,,0
1994,Laliga,CD Logroñés,summer,in,Víctor Segura,303475,21,Spain,Centre-Back,CB,,Palamós CF,Spain,,0
1994,Laliga,CD Logroñés,summer,in,José Manuel Ochotorena,255175,33,Spain,Goalkeeper,GK,,CD Tenerife,Spain,,0
1994,Laliga,CD Logroñés,summer,in,Antonio Acosta,145580,22,Spain,Midfielder,Midfielder,,UE Lleida,Spain,,0
1994,Laliga,CD Logroñés,winter,in,Rubén Ruiz,134015,25,Paraguay,Goalkeeper,GK,,CF Monterrey,Mexico,,0
1994,Laliga,CD Logroñés,winter,in,Sílvio,303461,24,Brazil,Centre-Forward,CF,,Clube Atlético Bragantino (SP),Brazil,,0
1994,Laliga,CD Logroñés,winter,in,Javier Delgado,303457,22,Spain,Central Midfield,CM,,FC Barcelona B,Spain,0.0,1
1994,Laliga,CD Logroñés,summer,out,Oleg Salenko,88147,24,Russia,Centre-Forward,CF,,Valencia CF,Spain,2069999.9999999998,0
1994,Laliga,CD Logroñés,summer,out,Enrique Romero,7494,23,Spain,Left-Back,LB,,Valencia CF,Spain,0.0,0
1994,Laliga,CD Logroñés,summer,out,Julen Lopetegui,101570,27,Spain,Goalkeeper,GK,,FC Barcelona,Spain,0.0,0
1994,Laliga,CD Logroñés,summer,out,Antonio Poyatos,173466,28,Spain,Left Midfield,LM,,Valencia CF,Spain,0.0,0
1994,Laliga,CD Logroñés,summer,out,Ricardo Moreno,277345,28,Spain,Defender,Defender,,Deportivo Alavés,Spain,,0
1994,Laliga,CD Logroñés,summer,out,Nacho Martín,277063,31,Spain,Centre-Back,CB,,Elche CF,Spain,,0
1994,Laliga,CD Logroñés,summer,out,David Linde,314464,25,Spain,Left Winger,LW,,Sevilla FC,Spain,,0
1994,Laliga,CD Logroñés,summer,out,Lutxo Iturrino,154601,30,Spain,Right Midfield,RM,,Real Sociedad,Spain,,0
1994,Laliga,CD Logroñés,summer,out,Paco Fernández,314747,26,Spain,Central Midfield,CM,,CD Badajoz,Spain,,0
1994,Laliga,CD Logroñés,summer,out,Grzegorz Lewandowski,69240,24,Poland,Defensive Midfield,DM,,Legia Warszawa,Poland,,0
1994,Laliga,CD Tenerife,summer,in,Juanele,7943,23,Spain,Second Striker,SS,,Sporting Gijón,Spain,1650000.0,0
1994,Laliga,CD Tenerife,summer,in,Marcelo Ojeda,305390,25,Argentina,Goalkeeper,GK,,CA Lanús,Argentina,540000.0,0
1994,Laliga,CD Tenerife,summer,in,Ángel Vivar Dorado,23114,20,Spain,Attacking Midfield,AM,,CD Leganés,Spain,120000.0,0
1994,Laliga,CD Tenerife,summer,in,José María Buljubasich,67204,23,Argentina,Goalkeeper,GK,,CA Rosario Central,Argentina,,0
1994,Laliga,CD Tenerife,summer,in,Víctor Fernández,7846,20,Spain,Centre-Forward,CF,,Real Madrid B,Spain,,0
1994,Laliga,CD Tenerife,summer,in,Luis Miguel Ramis,154986,23,Spain,Centre-Back,CB,,Real Madrid,Spain,0.0,1
1994,Laliga,CD Tenerife,summer,out,Fernando Redondo,5811,25,Argentina,Defensive Midfield,DM,,Real Madrid,Spain,3500000.0,0
1994,Laliga,CD Tenerife,summer,out,Pier,184330,22,Spain,Centre-Forward,CF,,Sporting Gijón,Spain,1200000.0,0
1994,Laliga,CD Tenerife,summer,out,Oscar Dertycia,120394,29,Argentina,Centre-Forward,CF,,Albacete Balompié,Spain,,0
1994,Laliga,CD Tenerife,summer,out,José Manuel Ochotorena,255175,33,Spain,Goalkeeper,GK,,CD Logroñés,Spain,,0
1994,Laliga,CD Tenerife,summer,out,Manolo,310938,33,Spain,Goalkeeper,GK,,UD Las Palmas,Spain,,0
1994,Laliga,CD Tenerife,summer,out,Agustín,214177,34,Spain,Goalkeeper,GK,,Retired,,,0
