season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2000,Ligue 1,AJ Auxerre,summer,in,Pierre Deblock,5427,27,France,Right Midfield,RM,,CS Sedan-Ardennes,France,2800000.0,0
2000,Ligue 1,AJ Auxerre,summer,in,Jean-Alain Boumsong,5418,20,France,Centre-Back,CB,,Le Havre AC,France,0.0,0
2000,Ligue 1,AJ Auxerre,summer,in,Moussa Saïb,109496,31,Algeria,Left Midfield,LM,,Al-Nasr SC (UAE),United Arab Emirates,,0
2000,Ligue 1,AJ Auxerre,winter,in,Khalilou Fadiga,3887,26,Senegal,Left Winger,LW,,Club Brugge KV,Belgium,,0
2000,Ligue 1,AJ Auxerre,summer,out,Bernard Diomède,3920,26,France,Left Winger,LW,,Liverpool FC,England,4500000.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Tomasz Klos,705,27,Poland,Centre-Back,CB,,1.FC Kaiserslautern,Germany,1100000.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Anthony Basso,26749,20,France,Goalkeeper,GK,,Udinese Calcio,Italy,500000.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Jacques-Désiré Périatambée,6256,24,Mauritius,Defensive Midfield,DM,,Grenoble Foot 38,France,0.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Oumar Dieng,6923,27,France,Centre-Back,CB,,Caykur Rizespor,Türkiye,0.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Steve Marlet,3240,26,France,Centre-Forward,CF,,Olympique Lyon,France,0.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Lilian Compan,17420,23,France,Centre-Forward,CF,,Union sportive Créteil,France,0.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Benjamin Nivet,33927,23,France,Attacking Midfield,AM,,LB Châteauroux,France,0.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Cédric Liabeuf,6263,20,France,Attacking Midfield,AM,,SO Romorantin,France,0.0,0
2000,Ligue 1,AJ Auxerre,summer,out,Arnaud Gonzalez,5437,22,France,Centre-Forward,CF,,AS Beauvais Oise,France,0.0,1
2000,Ligue 1,AJ Auxerre,summer,out,Albert Michael Yobo,4995,21,France,Centre-Back,CB,,VfL Osnabrück,Germany,,0
2000,Ligue 1,AJ Auxerre,summer,out,Stéphane Carnot,5455,28,France,Attacking Midfield,AM,,EA Guingamp,France,,0
2000,Ligue 1,AJ Auxerre,summer,out,Laurent Ciechelski,138302,29,France,Right-Back,RB,,Le Havre AC,France,,0
2000,Ligue 1,AS Monaco,summer,in,Shabani Nonda,3499,23,DR Congo,Centre-Forward,CF,,Stade Rennais FC,France,20000000.0,0
2000,Ligue 1,AS Monaco,summer,in,Stéphane Porato,5280,26,France,Goalkeeper,GK,,Olympique Marseille,France,10500000.0,0
2000,Ligue 1,AS Monaco,summer,in,Hassan El Fakiri,8884,23,Norway,Left-Back,LB,,Lyn 1896 FK,Norway,1100000.0,0
2000,Ligue 1,AS Monaco,summer,in,Éric Abidal,5283,20,France,Left-Back,LB,,AS Lyon-Duchère,France,0.0,0
2000,Ligue 1,AS Monaco,summer,in,Franck Jurietti,5288,25,France,Left-Back,LB,,SC Bastia,France,0.0,0
2000,Ligue 1,AS Monaco,summer,in,Nicolas Bonnal,5642,23,France,Left Midfield,LM,,AC Ajaccio,France,,0
2000,Ligue 1,AS Monaco,summer,in,André Biancarelli,9092,30,France,Goalkeeper,GK,,FC Metz,France,,0
2000,Ligue 1,AS Monaco,summer,in,Jaroslav Plasil,8885,18,Czech Republic,Central Midfield,CM,,SK Hradec Kralove,Czech Republic,,0
2000,Ligue 1,AS Monaco,summer,in,Xavier Gravelaine,20083,31,France,Centre-Forward,CF,,Le Havre AC,France,,0
2000,Ligue 1,AS Monaco,summer,in,Uliano Courville,4387,21,France,Midfielder,Midfielder,,AC Ajaccio,France,,0
2000,Ligue 1,AS Monaco,summer,in,Ousmane Dabo,3904,23,France,Defensive Midfield,DM,,AC Parma,Italy,0.0,1
