season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2021,Saudi Pro League,Abha Club,summer,in,Prestige Mboungou,615667,21,Congo,Left Winger,LW,600000.0,FK Metalac Gornji Milanovac,Serbia,300000.0,0
2021,Saudi Pro League,Abha Club,summer,in,Mitchell Te Vrede,79127,30,Suriname,Centre-Forward,CF,1400000.0,Al-Fateh SC,Saudi Arabia,0.0,0
2021,Saudi Pro League,Abha Club,summer,in,Dani Suárez,161255,31,Spain,Centre-Back,CB,500000.0,Asteras Tripolis,Greece,0.0,0
2021,Saudi Pro League,Abha Club,summer,in,Motair Al-Zahrani,498118,26,Saudi Arabia,Attacking Midfield,AM,100000.0,Al-Taawoun FC,Saudi Arabia,,0
2021,Saudi Pro League,Abha Club,summer,in,Fahad Al-Jumaiya,537565,26,Saudi Arabia,Right Winger,RW,500000.0,Al-Nassr FC,Saudi Arabia,,0
2021,Saudi Pro League,Abha Club,summer,in,Mohammed Al-Kunaydiri,886841,20,Saudi Arabia,Left-Back,LB,,Al-Hilal SFC,Saudi Arabia,,0
2021,Saudi Pro League,Abha Club,summer,in,Uros Matic,90885,31,Serbia,Central Midfield,CM,700000.0,Qarabağ FK,Azerbaijan,,0
2021,Saudi Pro League,Abha Club,summer,in,Hassan Al-Qead,487480,23,Saudi Arabia,Left Winger,LW,25000.0,Al-Shabab FC,Saudi Arabia,,0
2021,Saudi Pro League,Abha Club,summer,in,Abdullah Al-Qahtani,315632,22,Saudi Arabia,Attacking Midfield,AM,25000.0,Al-Faisaly FC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,winter,in,Bilel Ifa,93447,31,Tunisia,Centre-Back,CB,350000.0,Club Africain,Tunisia,718000.0,0
2021,Saudi Pro League,Abha Club,winter,in,Tayeb Meziani,373035,25,Algeria,Right Winger,RW,600000.0,Etoile Sportive du Sahel,Tunisia,610000.0,0
2021,Saudi Pro League,Abha Club,winter,in,Abdullah Al-Zoari,126330,34,Saudi Arabia,Left-Back,LB,25000.0,Al-Shabab FC,Saudi Arabia,,0
2021,Saudi Pro League,Abha Club,summer,out,Karim Aouadhi,133069,35,Tunisia,Defensive Midfield,DM,350000.0,Stade Tunisien,Tunisia,0.0,0
2021,Saudi Pro League,Abha Club,summer,out,Benjamin Tatar,317487,27,Bosnia-Herzegovina,Left Winger,LW,800000.0,Qadsia SC,Kuwait,0.0,0
2021,Saudi Pro League,Abha Club,summer,out,Mehdi Tahrat,238584,31,Algeria,Centre-Back,CB,650000.0,Al-Gharafa SC,Qatar,0.0,0
2021,Saudi Pro League,Abha Club,summer,out,Nader Al-Sharari,364773,25,Saudi Arabia,Centre-Back,CB,25000.0,Al-Shabab FC,Saudi Arabia,,0
2021,Saudi Pro League,Abha Club,summer,out,Musab Muharraq,944184,22,Saudi Arabia,Central Midfield,CM,,Al-Kawkab Club,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Carlos Strandberg,252689,25,Sweden,Centre-Forward,CF,2800000.0,Al-Hazem SC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Fahad Al-Jumaiya,537565,26,Saudi Arabia,Right Winger,RW,500000.0,Al-Nassr FC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Thaar Al-Otaibi,816378,21,Saudi Arabia,Left Winger,LW,25000.0,Al-Hilal SFC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Saud bin Zaydan,869499,21,Saudi Arabia,Central Midfield,CM,25000.0,Al-Nassr FC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Ali Muaddi,901328,27,Saudi Arabia,Left-Back,LB,25000.0,Al-Faisaly FC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Omar Al-Mazial,159926,28,Saudi Arabia,Right-Back,RB,375000.0,Al-Fayha FC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Abdullah Al-Qahtani,315632,22,Saudi Arabia,Attacking Midfield,AM,25000.0,Al-Faisaly FC,Saudi Arabia,0.0,1
2021,Saudi Pro League,Abha Club,summer,out,Saleh Al-Abbas,675868,25,Saudi Arabia,Centre-Forward,CF,450000.0,Al-Nassr FC,Saudi Arabia,0.0,1
