season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2022,Serie A,AC Milan,summer,in,Charles De Ketelaere,435772,21,Belgium,Attacking Midfield,AM,30000000.0,Club Brugge KV,Belgium,37500000.0,0
2022,Serie A,AC Milan,summer,in,Malick Thiaw,521964,21,Germany,Centre-Back,CB,6000000.0,FC Schalke 04,Germany,12800000.0,0
2022,Serie A,AC Milan,summer,in,Junior Messias,449151,31,Brazil,Right Winger,RW,6000000.0,FC Crotone,Italy,6200000.0,0
2022,Serie A,AC Milan,summer,in,Alessandro Florenzi,130365,31,Italy,Right-Back,RB,5500000.0,AS Roma,Italy,3150000.0,0
2022,Serie A,AC Milan,summer,in,Aster Vranckx,503881,19,Belgium,Central Midfield,CM,10000000.0,VfL Wolfsburg,Germany,1330000.0,1
2022,Serie A,AC Milan,summer,in,Divock Origi,148368,27,Belgium,Centre-Forward,CF,12000000.0,Liverpool FC,England,0.0,0
2022,Serie A,AC Milan,summer,in,Sergiño Dest,361104,21,United States,Right-Back,RB,18000000.0,FC Barcelona,Spain,0.0,1
2022,Serie A,AC Milan,winter,in,Devis Vásquez,495722,24,Colombia,Goalkeeper,GK,350000.0,Club Guaraní,Paraguay,810000.0,0
2022,Serie A,AC Milan,summer,out,Jens Petter Hauge,422355,22,Norway,Left Winger,LW,8000000.0,Eintracht Frankfurt,Germany,8199999.999999999,0
2022,Serie A,AC Milan,summer,out,Léo Duarte,312678,25,Brazil,Centre-Back,CB,2200000.0,Basaksehir FK,Türkiye,2000000.0,0
2022,Serie A,AC Milan,summer,out,Alessandro Plizzari,357991,22,Italy,Goalkeeper,GK,800000.0,Delfino Pescara 1936,Italy,425000.0,0
2022,Serie A,AC Milan,summer,out,Frank Tsadjout,392545,22,Italy,Centre-Forward,CF,900000.0,US Cremonese,Italy,400000.0,0
2022,Serie A,AC Milan,summer,out,Samu Castillejo,195171,27,Spain,Right Winger,RW,4000000.0,Valencia CF,Spain,0.0,0
2022,Serie A,AC Milan,summer,out,Alessio Romagnoli,197747,27,Italy,Centre-Back,CB,17000000.0,SS Lazio,Italy,0.0,0
2022,Serie A,AC Milan,summer,out,Franck Kessié,294808,25,Cote d'Ivoire,Central Midfield,CM,45000000.0,FC Barcelona,Spain,0.0,0
2022,Serie A,AC Milan,summer,out,Riccardo Tonin,421773,21,Italy,Centre-Forward,CF,100000.0,Calcio Foggia 1920,Italy,0.0,0
2022,Serie A,AC Milan,summer,out,Marco Frigerio,492627,21,Italy,Central Midfield,CM,150000.0,Calcio Foggia 1920,Italy,0.0,0
2022,Serie A,AC Milan,summer,out,Sabino Signorile,566963,20,Italy,Right Winger,RW,75000.0,Audace Cerignola,Italy,0.0,0
2022,Serie A,AC Milan,summer,out,Leroy Abanda,418652,22,France,Left-Back,LB,300000.0,RFC Seraing,Belgium,0.0,0
2022,Serie A,AC Milan,summer,out,Gabriele Capanni,421446,21,Italy,Left Winger,LW,100000.0,Ternana Calcio,Italy,0.0,0
2022,Serie A,AC Milan,summer,out,Gabriele Bellodi,406912,21,Italy,Centre-Back,CB,150000.0,Olbia Calcio 1905,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Luan Capanni,601877,22,Brazil,Centre-Forward,CF,75000.0,CF Estrela Amadora,Portugal,0.0,1
2022,Serie A,AC Milan,summer,out,Antonio Mionic,562259,21,Croatia,Central Midfield,CM,50000.0,US Alessandria Calcio 1912,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Mattia Caldara,197470,28,Italy,Centre-Back,CB,3500000.0,Spezia Calcio,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Emil Roback,673495,19,Sweden,Left Winger,LW,100000.0,FC Nordsjaelland,Denmark,0.0,1
2022,Serie A,AC Milan,summer,out,Marco Brescianini,459128,22,Italy,Central Midfield,CM,350000.0,Cosenza Calcio,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Daniel Maldini,539134,20,Italy,Attacking Midfield,AM,2000000.0,Spezia Calcio,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Marco Nasti,629016,18,Italy,Centre-Forward,CF,800000.0,Cosenza Calcio,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Lorenzo Colombo,487843,20,Italy,Centre-Forward,CF,3500000.0,US Lecce,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Emir Murati,395195,22,Italy,Central Midfield,CM,,Without Club,,,0
2022,Serie A,AC Milan,summer,out,Alessandro Florenzi,130365,31,Italy,Right-Back,RB,5500000.0,AS Roma,Italy,0.0,1
2022,Serie A,AC Milan,summer,out,Junior Messias,449151,31,Brazil,Right Winger,RW,6000000.0,FC Crotone,Italy,0.0,1
2022,Serie A,AC Milan,winter,out,Marko Lazetić,698548,19,Serbia,Centre-Forward,CF,3000000.0,SCR Altach,Austria,47000.0,1
2022,Serie A,AC Milan,winter,out,Andreas Jungdal,592924,20,Denmark,Goalkeeper,GK,150000.0,SCR Altach,Austria,35000.0,1
2022,Serie A,AC Milan,winter,out,Luan Capanni,601877,22,Brazil,Centre-Forward,CF,75000.0,Arka Gdynia,Poland,0.0,0
2022,Serie A,AC Milan,winter,out,Emil Roback,673495,19,Sweden,Left Winger,LW,150000.0,IFK Norrköping,Sweden,0.0,1
2022,Serie A,AC Monza,summer,in,Andrea Colpani,392959,23,Italy,Attacking Midfield,AM,2400000.0,Atalanta BC,Italy,11000000.0,0
2022,Serie A,AC Monza,summer,in,Michele Di Gregorio,301238,24,Italy,Goalkeeper,GK,3800000.0,Inter Milan,Italy,6000000.0,0
2022,Serie A,AC Monza,summer,in,Davide Bettella,357995,22,Italy,Centre-Back,CB,2000000.0,Atalanta BC,Italy,5000000.0,0
2022,Serie A,AC Monza,summer,in,Andrea Carboni,481834,21,Italy,Centre-Back,CB,5000000.0,Cagliari Calcio,Italy,4000000.0,0
2022,Serie A,AC Monza,summer,in,Valentin Antov,227347,21,Bulgaria,Centre-Back,CB,800000.0,CSKA Sofia,Bulgaria,3900000.0,0
2022,Serie A,AC Monza,summer,in,Matteo Pessina,332179,25,Italy,Central Midfield,CM,16000000.0,Atalanta BC,Italy,3200000.0,1
2022,Serie A,AC Monza,summer,in,Gianluca Caprari,146752,28,Italy,Second Striker,SS,10000000.0,Hellas Verona,Italy,3200000.0,1
2022,Serie A,AC Monza,summer,in,Pedro Pereira,314965,24,Portugal,Right-Back,RB,2300000.0,SL Benfica,Portugal,2870000.0,0
2022,Serie A,AC Monza,summer,in,Leonardo Mancuso,160344,30,Italy,Centre-Forward,CF,2700000.0,FC Empoli,Italy,2790000.0,0
2022,Serie A,AC Monza,summer,in,Mattia Valoti,167741,28,Italy,Central Midfield,CM,2000000.0,SPAL,Italy,2750000.0,0
2022,Serie A,AC Monza,summer,in,Andrea Petagna,199258,27,Italy,Centre-Forward,CF,12000000.0,SSC Napoli,Italy,2500000.0,1
2022,Serie A,AC Monza,summer,in,Samuele Birindelli,461019,22,Italy,Right-Back,RB,2500000.0,Pisa Sporting Club,Italy,1600000.0,0
2022,Serie A,AC Monza,summer,in,Alessandro Sorrentino,542588,20,Italy,Goalkeeper,GK,500000.0,Delfino Pescara 1936,Italy,800000.0,0
2022,Serie A,AC Monza,summer,in,Filippo Ranocchia,489611,21,Italy,Central Midfield,CM,1800000.0,Juventus FC,Italy,500000.0,1
2022,Serie A,AC Monza,summer,in,Nicolò Rovella,525704,20,Italy,Defensive Midfield,DM,10000000.0,Juventus FC,Italy,490000.0,1
2022,Serie A,AC Monza,summer,in,Alessio Cragno,12907,28,Italy,Goalkeeper,GK,10000000.0,Cagliari Calcio,Italy,400000.0,1
2022,Serie A,AC Monza,summer,in,Andrea Ranocchia,44327,34,Italy,Centre-Back,CB,800000.0,Inter Milan,Italy,0.0,0
2022,Serie A,AC Monza,summer,in,Warren Bondo,659516,18,France,Central Midfield,CM,700000.0,AS Nancy-Lorraine,France,0.0,0
2022,Serie A,AC Monza,summer,in,Pablo Marí,210178,28,Spain,Centre-Back,CB,5000000.0,Arsenal FC,England,0.0,1
2022,Serie A,AC Monza,summer,in,Gabriele Ferrarini,392033,22,Italy,Right-Back,RB,700000.0,ACF Fiorentina,Italy,0.0,1
2022,Serie A,AC Monza,summer,in,Stefano Sensi,216179,26,Italy,Central Midfield,CM,7000000.0,Inter Milan,Italy,0.0,1
2022,Serie A,AC Monza,summer,in,Armando Izzo,32113,30,Italy,Centre-Back,CB,2800000.0,Torino FC,Italy,0.0,1
2022,Serie A,AC Monza,summer,in,Marlon,273236,26,Brazil,Centre-Back,CB,10000000.0,Shakhtar Donetsk,Ukraine,0.0,1
2022,Serie A,AC Monza,winter,in,Franco Carboni,731491,19,Argentina,Left-Back,LB,1000000.0,Inter Milan,Italy,0.0,1
2022,Serie A,AC Monza,summer,out,Luca Mazzitelli,226025,26,Italy,Central Midfield,CM,2400000.0,Frosinone Calcio,Italy,185000.0,1
2022,Serie A,AC Monza,summer,out,Giuseppe Bellusci,57354,32,Italy,Centre-Back,CB,350000.0,Ascoli Calcio,Italy,0.0,0
2022,Serie A,AC Monza,summer,out,Daniele Sommariva,312773,24,Italy,Goalkeeper,GK,100000.0,Delfino Pescara 1936,Italy,0.0,0
