season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2006,Super Lig,Ankaraspor,summer,in,Deniz Aydoğdu,28281,22,Türkiye,Centre-Forward,CF,,Türkiyemspor Berlin,Germany,100000.0,0
2006,Super Lig,Ankaraspor,summer,in,Devran Ayhan,7191,28,Türkiye,Central Midfield,CM,1750000.0,Kayseri Erciyesspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,in,Murat Tosun,28959,22,Türkiye,Right Winger,RW,,Karsiyaka,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,in,Murat Hacıoğlu,7201,27,Türkiye,Second Striker,SS,2500000.0,Fenerbahce,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,in,Anıl Taşdemir,44993,18,Türkiye,Attacking Midfield,AM,,Göztepe,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,in,Bilal Kısa,7444,23,Türkiye,Attacking Midfield,AM,900000.0,Malatyaspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,in,Ardijan Djokaj,34404,27,Montenegro,Left Winger,LW,475000.0,Trabzonspor,Türkiye,0.0,1
2006,Super Lig,Ankaraspor,summer,in,Adem Koçak,6994,22,Türkiye,Central Midfield,CM,2200000.0,Trabzonspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,in,Mehmet Yılmaz,6915,27,Türkiye,Centre-Forward,CF,1900000.0,Trabzonspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,in,Murat Akyüz,44995,24,Türkiye,Right-Back,RB,,Kayseri Erciyesspor,Türkiye,,0
2006,Super Lig,Ankaraspor,summer,in,Volkan Arslan,6884,28,Türkiye,Central Midfield,CM,1300000.0,Galatasaray,Türkiye,,0
2006,Super Lig,Ankaraspor,winter,in,Uğur Demirkol,45951,17,Türkiye,Left-Back,LB,,Hertha BSC U19,Germany,100000.0,0
2006,Super Lig,Ankaraspor,winter,in,Hamílton,48293,26,Togo,Defensive Midfield,DM,,Sport Club do Recife,Brazil,0.0,0
2006,Super Lig,Ankaraspor,winter,in,Kamer Şenel,33035,26,Türkiye,Attacking Midfield,AM,,Berlin Ankaraspor Külübü,Germany,0.0,0
2006,Super Lig,Ankaraspor,winter,in,Hasan Vural,3149,33,Türkiye,Centre-Back,CB,175000.0,Berlin Ankaraspor Külübü,Germany,0.0,0
2006,Super Lig,Ankaraspor,winter,in,Ibrahim Keser,31613,22,Türkiye,Defensive Midfield,DM,,Berlin Ankaraspor Külübü,Germany,0.0,0
2006,Super Lig,Ankaraspor,winter,in,Serdar Güneş,41634,19,Türkiye,Central Midfield,CM,,Berlin Ankaraspor Külübü,Germany,0.0,0
2006,Super Lig,Ankaraspor,winter,in,Erhan Aydın,1798,25,Türkiye,Centre-Forward,CF,,Berlin Ankaraspor Külübü,Germany,0.0,0
2006,Super Lig,Ankaraspor,winter,in,Illés Sitku,29488,28,Hungary,Centre-Forward,CF,,FC Fehérvár,Hungary,0.0,0
2006,Super Lig,Ankaraspor,winter,in,Fırat Akkoyun,44969,25,Türkiye,Centre-Back,CB,,Konyaspor,Türkiye,,0
2006,Super Lig,Ankaraspor,winter,in,Ramazan Kurşunlu,6894,25,Türkiye,Goalkeeper,GK,500000.0,Besiktas JK,Türkiye,0.0,1
2006,Super Lig,Ankaraspor,summer,out,Iskender Aydemir,37969,20,Türkiye,Goalkeeper,GK,,FC Türkiyemspor Amsterdam,Netherlands,0.0,0
2006,Super Lig,Ankaraspor,summer,out,Özgür Bayer,7061,27,Türkiye,Centre-Back,CB,975000.0,Kayseri Erciyesspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,out,Mustafa Sarp,21522,25,Türkiye,Defensive Midfield,DM,350000.0,Kayseri Erciyesspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,out,Ersen Martin,7035,27,Türkiye,Centre-Forward,CF,2600000.0,Trabzonspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,out,Hasan Yiğit,7233,31,Türkiye,Right-Back,RB,1600000.0,Bursaspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,out,Tita,21488,25,Brazil,Left Winger,LW,2000000.0,MKE Ankaragücü,Türkiye,0.0,1
2006,Super Lig,Ankaraspor,summer,out,Emre Aktaş,37968,19,Türkiye,Centre-Forward,CF,50000.0,Keciörengücü,Türkiye,0.0,1
2006,Super Lig,Ankaraspor,summer,out,Musa Büyük,10138,26,Türkiye,Right-Back,RB,2500000.0,Trabzonspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,summer,out,Ahmet Yıldırım,6905,32,Türkiye,Defensive Midfield,DM,2250000.0,Etimesgut Sekerspor,Türkiye,,0
2006,Super Lig,Ankaraspor,summer,out,Erman Özgür,7375,29,Türkiye,Attacking Midfield,AM,2000000.0,Konyaspor,Türkiye,,0
2006,Super Lig,Ankaraspor,summer,out,Murat Erdoğan,7194,29,Türkiye,Central Midfield,CM,1250000.0,Sakaryaspor,Türkiye,,0
2006,Super Lig,Ankaraspor,summer,out,Ali Köksal Kulaksizoglu,185826,20,Türkiye,Goalkeeper,GK,,Bugsas Spor,Türkiye,0.0,1
2006,Super Lig,Ankaraspor,summer,out,Deniz Aydoğdu,28281,23,Türkiye,Centre-Forward,CF,,Karsiyaka,Türkiye,0.0,1
2006,Super Lig,Ankaraspor,winter,out,Kürşat Duymuş,14151,27,Türkiye,Centre-Back,CB,750000.0,Kayseri Erciyesspor,Türkiye,0.0,0
2006,Super Lig,Ankaraspor,winter,out,Dragoslav Jevric,4414,32,Serbia,Goalkeeper,GK,1000000.0,Maccabi Tel Aviv,Israel,0.0,0
